nome,endereco,cidade,estado,latitude,longitude,imagem_url,fonte_url,detalhe_url,petisco_descricao,telefone,horario,maps_url
222,"R. Francisco Deslandes, 222 | Cruzeiro, Belo Horizonte – MG",Belo Horizonte,MG,-19.9456523,-43.9295759,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09110856/222_buraquimquente_bh_2026_pauloti_unibh-4859.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/,https://comidadibuteco.com.br/buteco/3100-revision-v1/,"Buraquim Quente Minipães de sal com gergelim, recheados com carne de panela e finalizados com queijo canastra e couve crispy.",3135643061,Terça-feira: 18h – 23h30 | Quarta-feira: 18h – 23h30 | Quinta-feira: 18h – 23h30 | Sexta-feira: 18h – 23h30 | Sábado: 11h – 23h30 | Domingo: 11h – 19h30,"https://www.google.com/maps/search/?api=1&query=R. Francisco Deslandes, 222 |Belo Horizonte - MG"
Alexandre's Bar,"R. David Alves do Vale, 68 | Santa Rosa, Belo Horizonte – MG",Belo Horizonte,MG,-19.8634011,-43.9441692,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09110859/alexandresbar_porcoamostarda_pauloti_unibh-3271.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/,https://comidadibuteco.com.br/buteco/alexandres-bar/,"Porco ""AMOSTARDA"" Costela suína no purê de moranga com tapenade de mostarda com azeitona preta.",31997753957,Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 12h – 23h | Domingo: 12h – 22h,"https://www.google.com/maps/search/?api=1&query=R. David Alves do Vale, 68 | Santa Rosa, Belo Horizonte - MG"
Andrade's Beer,"R. Dona Geni, 32 | Maria Helena, Belo Horizonte – MG",Belo Horizonte,MG,-19.8013309,-43.9965515,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09110901/andradesbeer_ossadinhaatolada_bh_2026_rodneycosta_unibh-4615.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/,https://comidadibuteco.com.br/buteco/andrades-beer/,"Ossadinha Atolada Pescoço de boi com mandioca cozida e agrião, acompanhado de paçoca de carne de sol e torresmo.",31989145104,Segunda-feira: 17h – 23h | Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 16h – 23h | Domingo: 16h – 23h,"https://www.google.com/maps/search/?api=1&query=R. Dona Geni, 32 | Maria Helena, Belo Horizonte - MG"
Armazém Santa Amélia,"Rua da Sinfonia, 253 | Santa Amélia, Belo Horizonte – MG",Belo Horizonte,MG,,,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09110903/armazemsantaamelia_chucretedemineiro_bh_2026_rodneycosta_unibh-3650.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/,https://comidadibuteco.com.br/buteco/armazem-santa-amelia/,"Chucrute de Mineiro Vinagrete de repolho, costelão de boi ao molho do Armazém, acompanhado de batatas-bravas, farofa de bacon crocante e chutney de abacaxi com pimenta-dedo-de-moça.",31972174192,Terça-feira: 17h – 1h | Quarta-feira: 17h – 1h | Quinta-feira: 17h – 1h | Sexta-feira: 17h – 1h | Sábado: 13h – 1h | Domingo: 13h – 22h,"https://www.google.com/maps/search/?api=1&query=Rua da Sinfonia, 253 | Santa Amélia, Belo Horizonte - MG"
Avalanche Bar e Restaurante,"R. Doutor Álvaro Camargos, 1113 | São João Batista, Belo Horizonte – MG",Belo Horizonte,MG,-19.8274428,-43.9615139,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111005/avalancheespeteria_nopeitonaraiz_bh_2026_pauloti_unibh-4514.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/,https://comidadibuteco.com.br/buteco/avalanche-bar-e-restaurante/,"No Peito e na Raiz Maçã de peito cozida com couve ao alho, acompanhada de purê cremoso de mandioca.",31998990146,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h | Domingo: 15h – 0h,"https://www.google.com/maps/search/?api=1&query=R. Doutor Álvaro Camargos, 1113 | São Belo Horizonte - MG"
Azougue Fogo e Bar,"Rua do Ouro, 835 | Serra, Belo Horizonte – MG",Belo Horizonte,MG,-19.9403611,-43.9200245,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111007/azouquefogobar_oncoto_bh_2026_rodneycosta_unibh-4638.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/,https://comidadibuteco.com.br/buteco/azougue-fogo-e-bar/,On co tô Moelinha de frango escondida sob purê de alho-poró e crispy de cebola.,3135823109,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 12h – 23h | Domingo: 12h – 16h,"https://www.google.com/maps/search/?api=1&query=Rua do Ouro, 835 | Serra, Belo Horizonte - MG"
Baiúca,"R. Piauí, 1884 | Funcionários, Belo Horizonte – MG",Belo Horizonte,MG,-19.9358597,-43.9279865,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111008/baiuca_pastelpeganoporo_bh_2026_pauloti_unibh-4013.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/,https://comidadibuteco.com.br/buteco/baiuca/,"Pastel Pega no Poró Pastel de alho-poró com queijo canastra acompanhado de farofa de couve, costelinha, gremolata e molho de goiabada.",3132255602,Terça-feira: 12h – 21h30 | Quarta-feira: 12h – 21h30 | Quinta-feira: 12h – 21h30 | Sexta-feira: 12h – 21h30 | Sábado: 12h – 21h30 | Domingo: 12h – 16h,"https://www.google.com/maps/search/?api=1&query=R. Piauí, 1884 | Funcionários, Belo Horizonte - MG"
Bar Bambú,"R. Divisa Nova, 670 | Salgado Filho, Belo Horizonte – MG",Belo Horizonte,MG,-19.9440127,-43.9840632,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111012/barbambu_tocomnagunamao_bh_2026_isaquerodrigues_unibh-3461.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/,https://comidadibuteco.com.br/buteco/barbambu/,Tô com ragu na mão Repolho ao creme com ragu de fraldinha.,31995210404,Terça-feira: 18h – 23h30 | Quarta-feira: 18h – 23h30 | Quinta-feira: 18h – 23h30 | Sexta-feira: 18h – 23h30 | Sábado: 18h – 23h30 | Domingo: 18h – 23h30,"https://www.google.com/maps/search/?api=1&query=R. Divisa Nova, 670 | Belo Horizonte - MG"
Bar Bendita Baderna,"R. Silva Fortes, 47 | União, Belo Horizonte – MG",Belo Horizonte,MG,-19.8811789,-43.9272578,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111113/barbenditabaderna_benditaporpeta_bh_2026_pauloti_unibh-5051.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/,https://comidadibuteco.com.br/buteco/bar-bendita-baderna/,"Bendita porpeta Porpeta de cupim recheada com alho-poró e queijo canastra, ao molho de tomate da casa. Acompanha: farofa de costela (suína) com ora-pro-nóbis",31991823030,Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 12h – 0h | Domingo: 12h – 18h | Segunda-feira: 18h – 0h,"https://www.google.com/maps/search/?api=1&query=R. Silva Fortes, 47 | União, Belo Horizonte - MG"
Bar da Cintia,"R. Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte – MG",Belo Horizonte,MG,-19.8168676,-43.9694756,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111115/bardacintia_chuletadescontraida_bh_2026_pauloti_unibh-5257.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/,https://comidadibuteco.com.br/buteco/bar-da-cintia/,"Chuleta Descontraída Chuleta empanada, molho bechamel com repolho, bacon crispy salpicado por cima, acompanhada de um delicioso melaço para dar um toque agridoce ao prato.",36469725,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 15h – 23h | Domingo: 15h – 22h,"https://www.google.com/maps/search/?api=1&query=R. Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte - MG"
